Organisme,Description,Secteur,Courriel,Téléphone
Centre De Réadaptation En Dépendance De Montréal - Point De Service Hochelaga,Services de deuxième ligne en dépendance. Évaluation spécialisée (Guichet d'accès en dépendance au point de service Louvain). Réadaptation externe. Réadaptation interne pour a,Santé,guichet.dependance.ccsmtl@ssss.gouv.qc.ca,514 385-1232
Centre De Réadaptation En Dépendance De Montréal - Point De Service Notre-Dame Est,Services de deuxième ligne en dépendance. Évaluation spécialisée (Guichet d'accès en dépendance au point de service Louvain). Réadaptation externe. Réadaptation interne p,Santé,guichet.dependance.ccsmtl@ssss.gouv.qc.ca,514 385-1232
Centre De Soir Denise-Massé,"Lieu d'accueil et de réinsertion sociale en santé mentale. Accueil, écoute active, référence, soutien individuel et de groupe. Soutien et accompagnement des personnes participant à des programmes d'em...",Santé,direction@denise-masse.org,514 525-8059
Centre Intégré Universitaire De Santé Et De Services Sociaux De L'est-De-L'île-De-Montréal - Commissaire Aux Plaintes Et À La Qualité Des Services,Responsable du respect des droits des personnes usagères. Réception et analyse les plaintes. Émission de r,Santé,commissaireauxplaintes.cemtl@ssss.gouv.qc.ca,1 877 343-3003
Clsc De Montréal-Nord,Services de première ligne en matière de santé et de services sociaux. Aide alimentaire aux femmes enceintes. Authentification de la carte d'assurance maladie. Chirurgie mineure. Cours prénataux. Dépi...,Santé,—,514 384-2000
Conseil Régional Des Personnes Âgées Italo-Canadiennes De Montréal,"Appels et visites d'amitié. Popote roulante. Dîners hebdomadaires. Activités et sorties. Cours de gymnastique pour aîné.e.s, de danse sociale et d'informatique. Réseautage. Information",Santé,info@craic.ca,514 273-6588
Parcours En Santé Mentale,Soutien aux personnes vivant des difficultés en santé mentale et leur famille. Aide et suivi par des pair·e·s aidant·e·s certifié·e·s.,Santé,parcours.sm.montreal@gmail.com,438 506-7272
Anonyme (L') - Autobus (L'),"Unité mobile qui offre soutien psychosocial, matériel de protection et accès à un espace sécuritaire de consommation. Aide, information et soutien. Distribution de matériel de protection et de consomm...",Soutien aux personnes en situation de vulnérabilité,proximite@anonyme.ca,263 993-6701
Centre D'action Bénévole De Montréal-Nord - Clinique D'impôts,Clinique d'impôts sur rendez-vous.,Soutien aux personnes en situation de vulnérabilité,info@cabmtl-nord.org,514 328-1114 poste 100
Centre Des Femmes Interculturel Claire,Services aux femmes cheffes de famille monoparentale ou issues de l'immigration. Alphabétisation et francisation. Intégration socio-professionnelle. Halte-garderie. Activités parent-enfants de 0 à 5 a...,Soutien aux personnes en situation de vulnérabilité,cflic@hotmail.ca,514 325-9116
Centre Naha,Programme de réinsertion sociale d'une durée de 9 à 12 mois avec hébergement et repas. Aide alimentaire. Implication dans la communauté.,Soutien aux personnes en situation de vulnérabilité,centre@centrenaha.org,514 259-9962
Projets Autochtones Du Québec - Halte-Chaleur,"Halte-chaleur pour les personnes autochtones. Nourriture, buanderie, activités de loisir et soutien. Navette disponible pour s'y rendre ou pour retourner au centre-ville.",Soutien aux personnes en situation de vulnérabilité,info@paqc.org,—
Montréal - Sports Et Loisirs,"Implantation d'une vision commune des sports et loisirs à Montréal.Activités à l'année Bibliothèque: accès au catalogue Nelligan, consultation de dossier et renouvellement en ligne. Information sur l'...","Sports, loisirs et tourisme",—,311
